Region,mcode,lvcnt,lvdt2,bomb
North,15,0,5/11/1999,1
North,15,0,5/13/1999,0
North,15,0,5/15/1999,0
North,15,0,5/17/1999,0
North,15,0,5/19/1999,0
North,15,0,5/21/1999,0
North,15,0,5/23/1999,0
North,15,0,5/25/1999,0
North,15,0,5/27/1999,0
West,16,1399,3/24/1999,0
West,16,2442,3/26/1999,0
West,16,6471,3/28/1999,0
West,16,4559,3/30/1999,0
West,16,5748,4/1/1999,1
West,16,6720,4/3/1999,0
West,16,1091,4/5/1999,0
West,16,387,4/7/1999,1
West,16,399,4/9/1999,0
West,16,297,4/11/1999,0
West,16,295,4/13/1999,0
West,16,316,4/15/1999,0
West,16,239,4/17/1999,0
West,16,251,4/19/1999,0
West,16,130,4/21/1999,0
West,16,73,4/23/1999,0
West,16,60,4/25/1999,0
West,16,92,4/27/1999,0
West,16,655,4/29/1999,0
West,16,488,5/1/1999,0
West,16,1616,5/3/1999,0
West,16,205,5/5/1999,0
West,16,669,5/7/1999,0
West,16,538,5/9/1999,0
West,16,82,5/11/1999,0
West,16,0,5/13/1999,0
West,16,0,5/15/1999,1
West,16,0,5/17/1999,0
West,16,0,5/19/1999,0
West,16,0,5/21/1999,0
West,16,0,5/23/1999,0
West,16,0,5/25/1999,1
West,16,0,5/27/1999,0
West,17,1237,3/24/1999,0
West,17,2279,3/26/1999,0
West,17,6974,3/28/1999,1
West,17,2239,3/30/1999,0
West,17,1324,4/1/1999,1
West,17,1304,4/3/1999,0
West,17,3503,4/5/1999,0
West,17,297,4/7/1999,0
West,17,137,4/9/1999,0
West,17,141,4/11/1999,1
West,17,261,4/13/1999,0
West,17,237,4/15/1999,1
West,17,121,4/17/1999,0
West,17,168,4/19/1999,0
West,17,28,4/21/1999,0
West,17,47,4/23/1999,0
West,17,83,4/25/1999,0
West,17,111,4/27/1999,0
West,17,253,4/29/1999,0
West,17,153,5/1/1999,1
West,17,127,5/3/1999,1
West,17,136,5/5/1999,0
West,17,1774,5/7/1999,0
West,17,885,5/9/1999,1
West,17,0,5/11/1999,0
West,17,0,5/13/1999,1
West,17,0,5/15/1999,1
West,17,0,5/17/1999,0
West,17,0,5/19/1999,1
West,17,0,5/21/1999,1
West,17,0,5/23/1999,0
West,17,0,5/25/1999,1
West,17,0,5/27/1999,1
North,18,5,3/24/1999,0
North,18,9,3/26/1999,0
North,18,16,3/28/1999,0
North,18,36,3/30/1999,0
North,18,55,4/1/1999,0
North,18,28,4/3/1999,0
North,18,18,4/5/1999,0
North,18,7,4/7/1999,0
North,18,6,4/9/1999,0
North,18,6,4/11/1999,1
North,18,4,4/13/1999,0
North,18,6,4/15/1999,0
North,18,8,4/17/1999,0
North,18,3,4/19/1999,0
North,18,5,4/21/1999,0
North,18,9,4/23/1999,0
North,18,7,4/25/1999,0
North,18,4,4/27/1999,0
North,18,2,4/29/1999,1
North,18,73,5/1/1999,0
North,18,1,5/3/1999,0
North,18,36,5/5/1999,0
North,18,0,5/7/1999,1
North,18,0,5/9/1999,0
North,18,0,5/11/1999,1
North,18,0,5/13/1999,0
North,18,0,5/15/1999,0
North,18,0,5/17/1999,1
North,18,0,5/19/1999,0
North,18,0,5/21/1999,1
North,18,0,5/23/1999,0
North,18,0,5/25/1999,0
North,18,0,5/27/1999,0
East,19,404,3/24/1999,1
East,19,757,3/26/1999,0
East,19,1927,3/28/1999,1
East,19,1563,3/30/1999,1
East,19,1753,4/1/1999,1
East,19,685,4/3/1999,0
East,19,694,4/5/1999,1
East,19,141,4/7/1999,1
East,19,174,4/9/1999,0
East,19,44,4/11/1999,1
East,19,58,4/13/1999,1
East,19,104,4/15/1999,1
East,19,113,4/17/1999,1
East,19,55,4/19/1999,1
East,19,8,4/21/1999,1
East,19,26,4/23/1999,1
East,19,18,4/25/1999,1
East,19,75,4/27/1999,1
East,19,102,4/29/1999,1
East,19,62,5/1/1999,1
East,19,2,5/3/1999,1
East,19,101,5/5/1999,1
East,19,0,5/7/1999,1
East,19,0,5/9/1999,1
East,19,1,5/11/1999,1
East,19,0,5/13/1999,1
East,19,0,5/15/1999,0
East,19,0,5/17/1999,1
East,19,0,5/19/1999,1
East,19,0,5/21/1999,1
East,19,0,5/23/1999,1
East,19,0,5/25/1999,1
East,19,0,5/27/1999,1
South,20,3355,3/24/1999,0
South,20,6117,3/26/1999,0
South,20,16834,3/28/1999,1
South,20,8710,3/30/1999,0
South,20,6052,4/1/1999,0
South,20,2791,4/3/1999,0
South,20,3482,4/5/1999,1
South,20,795,4/7/1999,1
South,20,611,4/9/1999,0
South,20,542,4/11/1999,1
South,20,722,4/13/1999,0
South,20,1148,4/15/1999,0
South,20,1262,4/17/1999,0
South,20,607,4/19/1999,0
South,20,230,4/21/1999,0
South,20,125,4/23/1999,0
South,20,280,4/25/1999,0
South,20,558,4/27/1999,1
South,20,4770,4/29/1999,0
South,20,2662,5/1/1999,0
South,20,293,5/3/1999,0
South,20,192,5/5/1999,1
South,20,189,5/7/1999,0
South,20,196,5/9/1999,1
South,20,136,5/11/1999,0
South,20,0,5/13/1999,1
South,20,0,5/15/1999,1
South,20,0,5/17/1999,1
South,20,0,5/19/1999,1
South,20,0,5/21/1999,1
South,20,0,5/23/1999,1
South,20,0,5/25/1999,1
South,20,0,5/27/1999,1
North,21,272,3/24/1999,0
North,21,351,3/26/1999,0
North,21,587,3/28/1999,0
North,21,518,3/30/1999,0
North,21,588,4/1/1999,0
North,21,397,4/3/1999,0
North,21,452,4/5/1999,0
North,21,329,4/7/1999,0
North,21,401,4/9/1999,0
North,21,348,4/11/1999,1
North,21,792,4/13/1999,0
North,21,1303,4/15/1999,0
North,21,729,4/17/1999,0
North,21,215,4/19/1999,0
North,21,84,4/21/1999,0
North,21,1,4/23/1999,0
North,21,9,4/25/1999,0
North,21,6,4/27/1999,0
North,21,168,4/29/1999,0
North,21,1,5/1/1999,0
North,21,0,5/3/1999,0
North,21,15,5/5/1999,0
North,21,3,5/7/1999,0
North,21,55,5/9/1999,1
North,21,36,5/11/1999,0
North,21,0,5/13/1999,0
North,21,0,5/15/1999,0
North,21,0,5/17/1999,0
North,21,0,5/19/1999,0
North,21,0,5/21/1999,0
North,21,0,5/23/1999,0
North,21,0,5/25/1999,0
North,21,0,5/27/1999,0
East,22,2,3/24/1999,0
East,22,5,3/26/1999,0
East,22,2,3/28/1999,0
East,22,6,3/30/1999,0
East,22,6,4/1/1999,0
East,22,5,4/3/1999,0
East,22,11,4/5/1999,0
East,22,10,4/7/1999,0
East,22,28,4/9/1999,0
East,22,15,4/11/1999,0
East,22,7,4/13/1999,0
East,22,16,4/15/1999,0
East,22,44,4/17/1999,0
East,22,8,4/19/1999,0
East,22,4,4/21/1999,0
East,22,4,4/23/1999,0
East,22,0,4/25/1999,0
East,22,4,4/27/1999,0
East,22,4,4/29/1999,0
East,22,4,5/1/1999,0
East,22,0,5/3/1999,0
East,22,0,5/5/1999,0
East,22,8,5/7/1999,0
East,22,4,5/9/1999,1
East,22,178,5/11/1999,1
East,22,0,5/13/1999,1
East,22,0,5/15/1999,1
East,22,0,5/17/1999,0
East,22,0,5/19/1999,0
East,22,0,5/21/1999,0
East,22,0,5/23/1999,0
East,22,0,5/25/1999,1
East,22,0,5/27/1999,1
South,23,0,3/24/1999,0
South,23,0,3/26/1999,0
South,23,0,3/28/1999,0
South,23,0,3/30/1999,0
South,23,0,4/1/1999,0
South,23,2,4/3/1999,0
South,23,5,4/5/1999,0
South,23,0,4/7/1999,0
South,23,0,4/9/1999,0
South,23,0,4/11/1999,0
South,23,0,4/13/1999,0
South,23,0,4/15/1999,0
South,23,0,4/17/1999,0
South,23,0,4/19/1999,0
South,23,0,4/21/1999,0
South,23,0,4/23/1999,0
South,23,0,4/25/1999,0
South,23,0,4/27/1999,0
South,23,0,4/29/1999,0
South,23,0,5/1/1999,0
South,23,0,5/3/1999,0
South,23,0,5/5/1999,0
South,23,0,5/7/1999,0
South,23,0,5/9/1999,0
South,23,0,5/11/1999,0
South,23,0,5/13/1999,0
South,23,0,5/15/1999,0
South,23,0,5/17/1999,0
South,23,0,5/19/1999,0
South,23,0,5/21/1999,0
South,23,0,5/23/1999,1
South,23,0,5/25/1999,1
South,23,0,5/27/1999,0
South,24,1261,3/24/1999,0
South,24,2269,3/26/1999,0
South,24,5128,3/28/1999,0
South,24,4945,3/30/1999,0
South,24,7640,4/1/1999,0
South,24,8026,4/3/1999,0
South,24,7999,4/5/1999,0
South,24,718,4/7/1999,0
South,24,531,4/9/1999,0
South,24,219,4/11/1999,1
South,24,173,4/13/1999,0
South,24,239,4/15/1999,0
South,24,375,4/17/1999,0
South,24,571,4/19/1999,0
South,24,214,4/21/1999,0
South,24,84,4/23/1999,0
South,24,157,4/25/1999,1
South,24,151,4/27/1999,0
South,24,595,4/29/1999,0
South,24,489,5/1/1999,0
South,24,751,5/3/1999,1
South,24,52,5/5/1999,0
South,24,200,5/7/1999,0
South,24,218,5/9/1999,0
South,24,1021,5/11/1999,1
South,24,0,5/13/1999,0
South,24,0,5/15/1999,0
South,24,0,5/17/1999,1
South,24,0,5/19/1999,0
South,24,0,5/21/1999,0
South,24,0,5/23/1999,0
South,24,0,5/25/1999,1
South,24,0,5/27/1999,0
East,25,68,3/24/1999,0
East,25,116,3/26/1999,0
East,25,309,3/28/1999,0
East,25,142,3/30/1999,0
East,25,94,4/1/1999,0
East,25,47,4/3/1999,0
East,25,103,4/5/1999,0
East,25,77,4/7/1999,0
East,25,96,4/9/1999,0
East,25,63,4/11/1999,1
East,25,65,4/13/1999,0
East,25,121,4/15/1999,1
East,25,219,4/17/1999,1
East,25,28,4/19/1999,1
East,25,18,4/21/1999,0
East,25,33,4/23/1999,0
East,25,0,4/25/1999,0
East,25,13,4/27/1999,0
East,25,26,4/29/1999,0
East,25,20,5/1/1999,0
East,25,0,5/3/1999,0
East,25,0,5/5/1999,1
East,25,26,5/7/1999,1
East,25,13,5/9/1999,1
East,25,525,5/11/1999,1
East,25,0,5/13/1999,1
East,25,0,5/15/1999,1
East,25,0,5/17/1999,0
East,25,0,5/19/1999,0
East,25,0,5/21/1999,1
East,25,0,5/23/1999,1
East,25,0,5/25/1999,1
East,25,0,5/27/1999,1
East,26,1,3/24/1999,0
East,26,0,3/26/1999,0
East,26,0,3/28/1999,0
East,26,0,3/30/1999,1
East,26,0,4/1/1999,0
East,26,0,4/3/1999,0
East,26,0,4/5/1999,0
East,26,1,4/7/1999,0
East,26,2,4/9/1999,0
East,26,3,4/11/1999,0
East,26,12,4/13/1999,0
East,26,0,4/15/1999,0
East,26,0,4/17/1999,0
East,26,0,4/19/1999,0
East,26,0,4/21/1999,0
East,26,0,4/23/1999,0
East,26,0,4/25/1999,0
East,26,0,4/27/1999,0
East,26,0,4/29/1999,0
East,26,0,5/1/1999,0
East,26,0,5/3/1999,0
East,26,0,5/5/1999,0
East,26,0,5/7/1999,0
East,26,0,5/9/1999,0
East,26,0,5/11/1999,0
East,26,0,5/13/1999,0
East,26,0,5/15/1999,0
East,26,0,5/17/1999,0
East,26,0,5/19/1999,0
East,26,0,5/21/1999,0
East,26,0,5/23/1999,0
East,26,0,5/25/1999,0
East,26,0,5/27/1999,0
North,27,325,3/24/1999,0
North,27,430,3/26/1999,0
North,27,869,3/28/1999,0
North,27,551,3/30/1999,0
North,27,742,4/1/1999,0
North,27,448,4/3/1999,0
North,27,338,4/5/1999,0
North,27,269,4/7/1999,0
North,27,359,4/9/1999,0
North,27,365,4/11/1999,0
North,27,613,4/13/1999,0
North,27,1193,4/15/1999,0
North,27,1766,4/17/1999,0
North,27,734,4/19/1999,0
North,27,251,4/21/1999,0
North,27,67,4/23/1999,0
North,27,10,4/25/1999,0
North,27,11,4/27/1999,0
North,27,58,4/29/1999,0
North,27,192,5/1/1999,0
North,27,1098,5/3/1999,1
North,27,3,5/5/1999,0
North,27,116,5/7/1999,0
North,27,0,5/9/1999,0
North,27,6,5/11/1999,0
North,27,0,5/13/1999,0
North,27,0,5/15/1999,0
North,27,0,5/17/1999,0
North,27,0,5/19/1999,0
North,27,0,5/21/1999,0
North,27,0,5/23/1999,0
North,27,0,5/25/1999,1
North,27,0,5/27/1999,1
North,28,3,3/24/1999,0
North,28,4,3/26/1999,0
North,28,3,3/28/1999,0
North,28,2,3/30/1999,0
North,28,3,4/1/1999,0
North,28,2,4/3/1999,0
North,28,3,4/5/1999,0
North,28,3,4/7/1999,0
North,28,4,4/9/1999,0
North,28,4,4/11/1999,0
North,28,9,4/13/1999,0
North,28,26,4/15/1999,0
North,28,28,4/17/1999,0
North,28,0,4/19/1999,0
North,28,0,4/21/1999,0
North,28,0,4/23/1999,0
North,28,0,4/25/1999,0
North,28,0,4/27/1999,1
North,28,0,4/29/1999,0
North,28,0,5/1/1999,0
North,28,0,5/3/1999,0
North,28,0,5/5/1999,0
North,28,0,5/7/1999,0
North,28,0,5/9/1999,1
North,28,0,5/11/1999,0
North,28,0,5/13/1999,0
North,28,0,5/15/1999,0
North,28,0,5/17/1999,0
North,28,0,5/19/1999,0
North,28,0,5/21/1999,0
North,28,0,5/23/1999,1
North,28,0,5/25/1999,1
North,28,0,5/27/1999,0
North,29,0,3/24/1999,0
North,29,0,3/26/1999,0
North,29,0,3/28/1999,0
North,29,2,3/30/1999,0
North,29,2,4/1/1999,0
North,29,9,4/3/1999,0
North,29,0,4/5/1999,0
North,29,0,4/7/1999,0
North,29,0,4/9/1999,0
North,29,0,4/11/1999,0
North,29,0,4/13/1999,0
North,29,0,4/15/1999,0
North,29,0,4/17/1999,0
North,29,0,4/19/1999,0
North,29,0,4/21/1999,0
North,29,0,4/23/1999,0
North,29,0,4/25/1999,0
North,29,0,4/27/1999,0
North,29,0,4/29/1999,0
North,29,0,5/1/1999,0
North,29,0,5/3/1999,0
North,29,0,5/5/1999,0
North,29,0,5/7/1999,0
North,29,0,5/9/1999,0
North,29,0,5/11/1999,0
North,29,0,5/13/1999,0
North,29,0,5/15/1999,0
North,29,0,5/17/1999,0
North,29,0,5/19/1999,1
North,29,0,5/21/1999,1
North,29,0,5/23/1999,0
North,29,0,5/25/1999,0
North,29,0,5/27/1999,0
